house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,free,free,False,4.8,0.186,0.25,False
house_0,traj_1,visible,deflect,False,4.0,0.989,0.34,True
house_0,traj_2,free,free,False,2.9,0.441,0.30,False
house_1,traj_0,free,free,False,4.8,0.186,0.25,False
house_1,traj_1,visible,deflect,False,2.9,0.292,0.33,True
house_1,traj_2,visible,deflect,False,4.2,0.109,0.33,True
house_2,traj_0,free,free,True,4.8,0.186,0.25,False
house_2,traj_1,visible,deflect,False,4.1,0.118,0.34,True
house_2,traj_2,visible,deflect,False,3.6,0.368,0.21,True
house_3,traj_0,free,free,False,4.8,0.186,0.25,False
house_3,traj_1,free,free,False,6.1,0.683,0.23,False
house_3,traj_2,visible,deflect,False,1.1,0.130,0.30,True
house_4,traj_0,free,free,True,6.0,0.945,0.33,False
house_4,traj_1,free,free,False,6.0,0.501,0.21,False
house_4,traj_2,free,free,False,1.9,0.169,0.31,False
house_5,traj_0,visible,deflect,False,2.1,0.227,0.24,True
house_5,traj_1,free,free,False,1.0,0.120,0.30,False
house_5,traj_2,free,free,True,2.7,0.102,0.33,False
house_6,traj_0,free,free,False,4.6,0.143,0.29,False
house_6,traj_1,free,free,True,1.7,0.414,0.32,False
house_6,traj_2,free,free,False,4.4,0.294,0.25,False
house_7,traj_0,visible,deflect,False,1.9,0.154,0.22,True
house_7,traj_1,visible,deflect,True,6.5,0.206,0.28,True
house_7,traj_2,visible,deflect,False,3.8,0.359,0.31,True
