house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_0,traj_1,free,free,False,4.6,0.208,0.22,False
house_0,traj_2,hidden,deflect,False,2.3,0.335,0.23,False
house_1,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_1,traj_1,free,free,False,5.0,0.787,0.32,False
house_1,traj_2,free,free,False,7.4,0.234,0.21,False
house_2,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_2,traj_1,free,free,False,3.5,0.310,0.27,False
house_2,traj_2,visible,deflect,False,2.4,0.688,0.27,True
house_3,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_3,traj_1,hidden,deflect,False,1.9,0.538,0.33,False
house_3,traj_2,visible,deflect,False,3.5,0.491,0.31,True
house_4,traj_0,abort,abort,True,5.0,0.119,0.20,False
house_4,traj_1,free,free,False,4.1,0.250,0.27,False
house_4,traj_2,free,free,False,1.1,0.102,0.30,False
house_5,traj_0,visible,deflect,False,6.6,0.104,0.27,True
house_5,traj_1,visible,deflect,False,3.1,0.626,0.23,True
house_5,traj_2,hidden,deflect,False,6.3,0.362,0.30,False
house_6,traj_0,visible,deflect,False,3.6,0.243,0.33,True
house_6,traj_1,visible,deflect,False,3.5,1.050,0.20,True
house_6,traj_2,visible,deflect,False,7.9,0.259,0.24,True
house_7,traj_0,hidden,deflect,False,7.9,0.542,0.30,False
house_7,traj_1,visible,deflect,False,4.7,0.142,0.23,True
house_7,traj_2,abort,abort,True,2.1,0.810,0.24,True
