house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_0,traj_1,abort,abort,True,2.3,0.855,0.28,True
house_0,traj_2,visible,deflect,False,6.9,0.237,0.34,True
house_1,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_1,traj_1,visible,deflect,False,4.1,0.180,0.29,True
house_1,traj_2,visible,deflect,False,2.3,0.777,0.33,True
house_2,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_2,traj_1,visible,deflect,False,4.7,0.607,0.25,True
house_2,traj_2,visible,deflect,False,4.7,0.805,0.25,True
house_3,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_3,traj_1,visible,deflect,False,1.8,0.944,0.23,True
house_3,traj_2,visible,deflect,False,6.9,0.334,0.35,True
house_4,traj_0,free,free,False,2.6,0.224,0.22,False
house_4,traj_1,visible,deflect,False,4.9,0.150,0.24,True
house_4,traj_2,visible,deflect,False,3.8,0.543,0.21,True
house_5,traj_0,visible,deflect,False,3.1,0.348,0.20,True
house_5,traj_1,free,free,False,5.9,0.117,0.29,False
house_5,traj_2,free,free,False,2.9,0.275,0.28,False
house_6,traj_0,abort,abort,True,4.0,0.361,0.29,True
house_6,traj_1,free,free,False,3.3,0.290,0.20,False
house_6,traj_2,visible,deflect,False,2.5,0.590,0.24,True
house_7,traj_0,free,free,False,6.5,0.424,0.23,False
house_7,traj_1,visible,deflect,False,4.5,0.631,0.23,True
house_7,traj_2,visible,deflect,False,2.5,0.340,0.27,True
