house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_0,traj_1,free,free,False,4.6,0.208,0.22,False
house_0,traj_2,free,abort,True,1.9,0.102,0.22,False
house_1,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_1,traj_1,hidden,deflect,False,4.9,0.207,0.28,False
house_1,traj_2,abort,abort,True,6.7,0.125,0.25,True
house_2,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_2,traj_1,free,free,False,7.2,0.132,0.28,False
house_2,traj_2,abort,abort,True,2.9,0.201,0.34,True
house_3,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_3,traj_1,free,free,False,1.9,0.244,0.26,False
house_3,traj_2,free,free,False,6.8,0.238,0.31,False
house_4,traj_0,free,free,False,7.8,0.191,0.24,False
house_4,traj_1,hidden,deflect,False,5.0,0.109,0.30,False
house_4,traj_2,free,free,False,6.0,0.299,0.33,False
house_5,traj_0,free,free,False,6.2,0.227,0.34,False
house_5,traj_1,hidden,deflect,False,4.7,0.914,0.32,False
house_5,traj_2,visible,deflect,False,1.5,1.197,0.22,True
house_6,traj_0,free,free,False,1.6,0.152,0.26,False
house_6,traj_1,free,free,False,4.1,0.991,0.24,False
house_6,traj_2,free,free,False,2.9,0.435,0.33,False
house_7,traj_0,visible,deflect,False,1.6,0.153,0.28,True
house_7,traj_1,hidden,deflect,False,6.0,0.244,0.22,False
house_7,traj_2,visible,deflect,False,7.9,0.966,0.21,False
