house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,free,free,True,4.8,0.186,0.25,False
house_0,traj_1,free,free,True,6.5,0.234,0.33,False
house_0,traj_2,free,free,False,2.8,0.131,0.32,False
house_1,traj_0,free,free,False,4.8,0.186,0.25,False
house_1,traj_1,free,free,False,1.4,0.106,0.24,False
house_1,traj_2,free,free,True,4.9,0.835,0.34,False
house_2,traj_0,free,free,True,4.8,0.186,0.25,False
house_2,traj_1,free,free,True,4.9,0.393,0.22,False
house_2,traj_2,free,free,False,3.2,0.512,0.28,False
house_3,traj_0,free,free,True,4.8,0.186,0.25,False
house_3,traj_1,free,free,False,3.5,0.275,0.28,False
house_3,traj_2,free,free,False,4.2,0.387,0.24,False
house_4,traj_0,free,free,True,2.0,0.982,0.26,False
house_4,traj_1,free,free,True,6.0,0.334,0.24,False
house_4,traj_2,free,free,True,2.7,0.180,0.30,False
house_5,traj_0,free,free,True,6.0,0.591,0.26,False
house_5,traj_1,free,free,True,1.1,0.124,0.28,False
house_5,traj_2,free,free,False,5.6,0.137,0.34,False
house_6,traj_0,free,free,True,1.5,0.214,0.26,False
house_6,traj_1,free,free,True,2.6,0.984,0.22,False
house_6,traj_2,free,free,False,3.5,0.409,0.21,False
house_7,traj_0,free,free,False,3.9,0.983,0.26,False
house_7,traj_1,free,free,True,2.9,0.116,0.34,False
house_7,traj_2,free,free,True,6.9,0.128,0.30,False
