house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_0,traj_1,abort,abort,True,2.3,0.855,0.28,True
house_0,traj_2,visible,deflect,False,6.9,0.237,0.34,True
house_1,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_1,traj_1,visible,deflect,False,4.1,0.180,0.29,True
house_1,traj_2,visible,deflect,False,2.3,0.452,0.22,True
house_2,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_2,traj_1,visible,deflect,False,4.7,0.607,0.25,True
house_2,traj_2,free,free,False,3.9,0.847,0.31,False
house_3,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_3,traj_1,abort,abort,True,7.1,0.397,0.30,True
house_3,traj_2,visible,deflect,False,5.8,0.118,0.34,True
house_4,traj_0,visible,deflect,False,2.0,0.465,0.34,True
house_4,traj_1,free,free,False,3.5,0.338,0.23,False
house_4,traj_2,visible,deflect,False,4.2,0.108,0.34,True
house_5,traj_0,free,free,False,5.1,0.656,0.23,False
house_5,traj_1,free,free,False,1.9,0.281,0.22,False
house_5,traj_2,visible,deflect,False,4.2,0.141,0.31,True
house_6,traj_0,free,free,False,5.3,0.433,0.21,False
house_6,traj_1,free,free,False,4.0,0.221,0.21,False
house_6,traj_2,visible,deflect,False,6.1,0.725,0.27,True
house_7,traj_0,free,abort,True,3.4,0.324,0.35,False
house_7,traj_1,free,free,False,5.4,0.237,0.30,False
house_7,traj_2,visible,deflect,False,1.8,0.184,0.20,True
